src_port,dst_port,protocol,duration,pkt_count,total_bytes,mean_pkt_len,max_pkt_len,mean_iat,bytes_per_sec,label
3702,3702,17,0.0005478858947753906,2,1674,837.0,845,0.0005478858947753906,3055380.7206266318,0
12223,12223,17,9.928555250167847,3,1140,380.0,380,4.964277625083923,114.82033098226731,0
0,0,2,9.62756085395813,3,180,60.0,60,4.813780426979065,18.696324305859623,0
5353,5353,17,3.9477007389068604,2,534,267.0,425,3.9477007389068604,135.26861211568624,0
5353,5353,17,3.9022891521453857,5,2192,438.4,1175,0.9755722880363464,561.7215727837314,0
56437,1900,17,2.0362608432769775,3,651,217.0,217,1.0181304216384888,319.7036382393615,0
5353,5353,17,3.9924464225769043,2,178,89.0,100,3.9924464225769043,44.58419253754464,0
53535,5355,17,0.10390400886535645,2,158,79.0,79,0.10390400886535645,1520.6343020387558,0
53559,5355,17,0.10950827598571777,2,158,79.0,79,0.10950827598571777,1442.813326917927,0
5050,5050,17,2.0507633686065674,2,148,74.0,74,2.0507633686065674,72.16824830480641,0
3702,3702,17,0.0011837482452392578,2,1674,837.0,845,0.0011837482452392578,1414152.0435045317,0
61814,5355,17,0.1141047477722168,2,158,79.0,79,0.1141047477722168,1384.6926011826406,0
54165,5355,17,0.11838126182556152,2,158,79.0,79,0.11838126182556152,1334.6706865890476,0
61688,5353,17,8.077646970748901,470,45217,96.20638297872341,124,0.017223127869400643,5597.793536130213,0
63511,1900,17,5.311546564102173,2,264,132.0,132,5.311546564102173,49.70303786551192,0
3702,3702,17,0.0006582736968994141,2,1674,837.0,845,0.0006582736968994141,2543015.174212242,0
51649,5355,17,0.10603046417236328,2,158,79.0,79,0.10603046417236328,1490.1377753393115,0
62481,5355,17,0,1,79,79.0,79,0,0,0
137,137,17,10.238875389099121,8,844,105.5,110,1.4626964841570174,82.43092800001938,0
0,0,2,9.522200345993042,3,180,60.0,60,4.761100172996521,18.903193953038837,0
37020,37020,17,5.932939052581787,2,332,166.0,166,5.932939052581787,55.95877474175744,0
5353,5353,17,4.094354867935181,3,252,84.0,84,2.0471774339675903,61.548157921906224,0
443,52058,6,3.788501262664795,4,370,92.5,172,1.2628337542215984,97.66395055646507,0
5050,5050,17,2.0483791828155518,2,148,74.0,74,2.0483791828155518,72.2522476510282,0
5050,5050,17,2.047004461288452,2,148,74.0,74,2.047004461288452,72.30077061329115,0
5050,5050,17,1.2292773723602295,3,858,286.0,286,0.6146386861801147,697.9710350908259,0
3702,3702,17,0.0004355907440185547,2,1674,837.0,845,0.0004355907440185547,3843056.866995074,0
57611,5355,17,0.20129156112670898,2,158,79.0,79,0.20129156112670898,784.9310677288761,0
138,138,17,0,1,216,216.0,216,0,0,0
5353,5353,17,0,1,87,87.0,87,0,0,0
50478,1900,17,0,1,167,167.0,167,0,0,0
40162,1900,17,0.2087855339050293,6,3006,501.0,546,0.04175710678100586,14397.549216064679,0
5353,5353,17,18.439496278762817,9,1164,129.33333333333334,161,2.304937034845352,63.12536863279747,0
5353,5353,17,12.938557386398315,18,10553,586.2777777777778,1442,0.7610916109646068,815.6241600082759,0
5050,5050,17,1.9448297023773193,2,148,74.0,74,1.9448297023773193,76.09920797645567,0
1900,1900,17,0.0031366348266601562,4,1608,402.0,441,0.001045544942220052,512651.32502280327,0
61712,5355,17,0.09628081321716309,2,158,79.0,79,0.09628081321716309,1641.033085622451,0
3702,3702,17,0.00086212158203125,2,1674,837.0,845,0.00086212158203125,1941721.4867256638,0
0,0,2,0.0005056858062744141,2,120,60.0,60,0.0005056858062744141,237301.4992927864,0
5353,5353,17,3.9943785667419434,3,252,84.0,84,1.9971892833709717,63.088662175940534,0
